203,1,107,292,116,69,38,962,110,110,160,270,2,2,1,1,176
203,1,75,225,90,60,29,1148,90,80,130,210,2,2,1,1,135
203,1,122,325,130,73,42,1134,130,110,180,290,2,2,1,1,195
203,1,105,289,115,69,37,1166,110,100,160,260,2,2,1,1,174
203,1,104,223,90,56,29,1148,90,80,130,210,2,2,1,1,135
203,1,104,223,90,56,29,1139,90,80,130,210,2,2,1,1,135
203,1,135,275,103,64,33,1130,110,90,150,240,2,2,1,1,155
203,1,171,334,125,73,41,1119,130,100,160,260,2,2,1,1,188
203,1,181,346,130,73,42,1134,130,110,180,290,2,2,1,1,195
203,1,15,51,20,16,5,804,20,20,30,50,13,4,6,1,31
203,1,33,90,36,21,10,809,40,30,60,90,13,4,6,1,54
203,1,17,47,19,15,5,811,20,20,30,50,13,4,6,1,28
203,1,27,64,24,18,6,806,40,20,40,60,13,4,6,1,36
203,1,49,96,36,21,10,809,40,30,60,90,13,4,6,1,54
203,1,-2,128,53,77,48,597,10,50,70,120,5,1,2,1,75
203,1,1,144,60,83,54,606,40,40,90,130,5,1,2,1,84
203,1,2,147,61,84,55,613,10,60,80,140,5,1,2,1,86
203,1,11,201,75,103,68,522,20,70,100,170,5,1,2,1,105
203,1,4,165,65,87,58,513,20,60,90,150,5,1,2,1,90
203,1,0,160,63,87,57,506,10,60,80,140,5,1,2,1,87
203,1,0,160,63,87,57,521,10,60,80,140,5,1,2,1,87
203,1,4,153,64,81,58,551,20,60,90,150,5,1,2,1,90
203,1,3,159,62,85,56,612,20,50,90,140,5,1,2,1,87
203,1,-3,140,55,78,49,627,10,50,70,120,5,1,2,1,76
203,1,29,130,55,46,18,305,40,50,70,120,6,1,4,2,75
203,1,22,113,48,43,15,334,40,40,70,110,6,1,4,2,65
203,1,16,100,43,41,14,388,20,40,50,90,6,1,4,2,57
203,1,16,98,42,40,13,384,20,40,50,90,6,1,4,2,56
203,1,47,145,55,47,18,312,40,50,70,120,6,1,4,2,75
